m,y,tipo,t,nombremes
7,1970,max,33.5,Julio
7,1970,max,35.5,Julio
7,1970,max,37.5,Julio
7,1970,max,40.5,Julio
8,1970,max,40,Agosto
8,1970,max,36,Agosto
8,1970,max,32.5,Agosto
8,1970,max,31,Agosto
8,1970,max,32.5,Agosto
8,1970,max,38,Agosto
8,1970,max,41.5,Agosto
8,1970,max,37.5,Agosto
8,1970,max,31.5,Agosto
8,1970,max,34.5,Agosto
8,1970,max,35,Agosto
8,1970,max,35,Agosto
8,1970,max,32,Agosto
8,1970,max,31.5,Agosto
8,1970,max,33,Agosto
8,1970,max,33,Agosto
8,1970,max,34,Agosto
8,1970,max,34,Agosto
8,1970,max,34,Agosto
8,1970,max,33,Agosto
8,1970,max,34,Agosto
8,1970,max,33,Agosto
8,1970,max,34,Agosto
8,1970,max,35.5,Agosto
8,1970,max,34,Agosto
8,1970,max,33.5,Agosto
8,1970,max,32,Agosto
8,1970,max,33,Agosto
8,1970,max,33,Agosto
8,1970,max,34.5,Agosto
8,1970,max,36.5,Agosto
9,1970,max,40,Septiembre
9,1970,max,35.5,Septiembre
9,1970,max,32.5,Septiembre
9,1970,max,33,Septiembre
9,1970,max,27,Septiembre
9,1970,max,33.5,Septiembre
9,1970,max,32.5,Septiembre
9,1970,max,33.5,Septiembre
9,1970,max,32.5,Septiembre
9,1970,max,36.5,Septiembre
9,1970,max,33,Septiembre
9,1970,max,29,Septiembre
9,1970,max,25.5,Septiembre
9,1970,max,29.5,Septiembre
9,1970,max,30,Septiembre
9,1970,max,32,Septiembre
9,1970,max,36.5,Septiembre
9,1970,max,36,Septiembre
9,1970,max,34,Septiembre
9,1970,max,31.5,Septiembre
9,1970,max,26.5,Septiembre
9,1970,max,34,Septiembre
9,1970,max,33,Septiembre
9,1970,max,33.5,Septiembre
9,1970,max,35,Septiembre
9,1970,max,36.5,Septiembre
9,1970,max,34.5,Septiembre
9,1970,max,33.5,Septiembre
9,1970,max,33,Septiembre
9,1970,max,34.5,Septiembre
10,1970,max,36,Octubre
10,1970,max,33.5,Octubre
10,1970,max,25.5,Octubre
10,1970,max,28.5,Octubre
10,1970,max,28,Octubre
10,1970,max,25.5,Octubre
10,1970,max,24.5,Octubre
10,1970,max,32,Octubre
10,1970,max,31.5,Octubre
10,1970,max,28,Octubre
10,1970,max,32.5,Octubre
10,1970,max,30,Octubre
10,1970,max,25,Octubre
10,1970,max,24,Octubre
10,1970,max,25.5,Octubre
10,1970,max,26,Octubre
10,1970,max,28.5,Octubre
10,1970,max,28.5,Octubre
10,1970,max,21.5,Octubre
10,1970,max,24,Octubre
10,1970,max,24.5,Octubre
10,1970,max,21,Octubre
10,1970,max,24.5,Octubre
10,1970,max,23,Octubre
10,1970,max,21.5,Octubre
10,1970,max,25,Octubre
10,1970,max,24.5,Octubre
10,1970,max,32,Octubre
10,1970,max,31,Octubre
10,1970,max,29.5,Octubre
10,1970,max,30,Octubre
11,1970,max,33,Noviembre
11,1970,max,28.5,Noviembre
11,1970,max,31,Noviembre
11,1970,max,23.5,Noviembre
11,1970,max,24.5,Noviembre
11,1970,max,21.5,Noviembre
11,1970,max,21,Noviembre
11,1970,max,28,Noviembre
11,1970,max,22.5,Noviembre
11,1970,max,26.5,Noviembre
11,1970,max,27.5,Noviembre
11,1970,max,22.5,Noviembre
11,1970,max,25.5,Noviembre
11,1970,max,24,Noviembre
11,1970,max,29,Noviembre
11,1970,max,27,Noviembre
11,1970,max,26.5,Noviembre
11,1970,max,24,Noviembre
11,1970,max,19,Noviembre
11,1970,max,20.5,Noviembre
11,1970,max,20.5,Noviembre
11,1970,max,23,Noviembre
11,1970,max,27,Noviembre
11,1970,max,26,Noviembre
11,1970,max,21.5,Noviembre
11,1970,max,15.5,Noviembre
11,1970,max,15,Noviembre
11,1970,max,17.5,Noviembre
11,1970,max,17,Noviembre
11,1970,max,15,Noviembre
12,1970,max,17,Diciembre
12,1970,max,15,Diciembre
12,1970,max,18,Diciembre
12,1970,max,21.5,Diciembre
12,1970,max,25,Diciembre
12,1970,max,23,Diciembre
12,1970,max,21,Diciembre
12,1970,max,23,Diciembre
12,1970,max,15.5,Diciembre
12,1970,max,20,Diciembre
12,1970,max,20.5,Diciembre
12,1970,max,20.5,Diciembre
12,1970,max,18,Diciembre
12,1970,max,12.5,Diciembre
12,1970,max,16.5,Diciembre
12,1970,max,18,Diciembre
12,1970,max,15,Diciembre
12,1970,max,12,Diciembre
12,1970,max,11.5,Diciembre
12,1970,max,12,Diciembre
12,1970,max,10,Diciembre
12,1970,max,13.5,Diciembre
12,1970,max,14.5,Diciembre
12,1970,max,14.5,Diciembre
12,1970,max,16,Diciembre
12,1970,max,15.5,Diciembre
12,1970,max,15.5,Diciembre
12,1970,max,20.5,Diciembre
12,1970,max,14.5,Diciembre
12,1970,max,25.5,Diciembre
12,1970,max,20,Diciembre
1,1971,max,20.5,Enero 
1,1971,max,9.5,Enero 
1,1971,max,10,Enero 
1,1971,max,10,Enero 
1,1971,max,10,Enero 
1,1971,max,9.5,Enero 
1,1971,max,11,Enero 
1,1971,max,11,Enero 
1,1971,max,15,Enero 
1,1971,max,13,Enero 
1,1971,max,13.5,Enero 
1,1971,max,11.5,Enero 
1,1971,max,11,Enero 
1,1971,max,15.5,Enero 
1,1971,max,28.5,Enero 
1,1971,max,26,Enero 
1,1971,max,27.5,Enero 
1,1971,max,30.5,Enero 
1,1971,max,29.5,Enero 
1,1971,max,24.5,Enero 
1,1971,max,15,Enero 
1,1971,max,14.5,Enero 
1,1971,max,16,Enero 
1,1971,max,19.5,Enero 
1,1971,max,22,Enero 
1,1971,max,29.5,Enero 
1,1971,max,30,Enero 
1,1971,max,30,Enero 
1,1971,max,31,Enero 
1,1971,max,31,Enero 
1,1971,max,21.5,Enero 
2,1971,max,19,Febrero
2,1971,max,13,Febrero
2,1971,max,19.5,Febrero
2,1971,max,19.5,Febrero
