"","Meses","mes","año","mesp"
"514","Diciembre",12,"2000",3.5
"515","Diciembre",12,"2001",28.5
"516","Diciembre",12,"2002",33
"517","Diciembre",12,"2003",15
"518","Diciembre",12,"2004",104
"519","Diciembre",12,"2005",0
"520","Diciembre",12,"2006",13.6
"521","Diciembre",12,"2007",20.6
"522","Diciembre",12,"2009",27.3
"523","Diciembre",12,"2010",68.2
"524","Diciembre",12,"2011",30.6
